"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Aeugst am Albis";"Revenu net, en mio. de francs";95;"Mio. de Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"1";"Aeugst am Albis";"Revenu net par habitant/-e, en francs";49746;"Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"2";"Affoltern am Albis";"Revenu net, en mio. de francs";367;"Mio. de Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"2";"Affoltern am Albis";"Revenu net par habitant/-e, en francs";32914;"Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"3";"Bonstetten";"Revenu net, en mio. de francs";225;"Mio. de Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"3";"Bonstetten";"Revenu net par habitant/-e, en francs";43422;"Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"4";"Hausen am Albis";"Revenu net, en mio. de francs";133;"Mio. de Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"4";"Hausen am Albis";"Revenu net par habitant/-e, en francs";39708;"Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"5";"Hedingen";"Revenu net, en mio. de francs";148;"Mio. de Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
"5";"Hedingen";"Revenu net par habitant/-e, en francs";42710;"Francs";"A";"Normaler Wert";"";"2011-01-01/2011-12-31";"ESTV";"2021-10-23";"polg";"Communes";"2011-07-01";"17745";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/17745_fr.html"
