"GEO_ID";"GEO_NAME";"VARIABLE";VALUE;"UNIT";"STATUS";"STATUS_DESC";"DESC_VAL";"PERIOD_REF";"SOURCE";"LAST_UPDATE";"GEOM_CODE";"GEOM";"GEOM_PERIOD";"MAP_ID";"MAP_URL"
"1";"Aeugst am Albis";"Force du parti, en %";3.3;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"2";"Affoltern am Albis";"Force du parti, en %";5.7;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"3";"Bonstetten";"Force du parti, en %";3.7;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"4";"Hausen am Albis";"Force du parti, en %";3.3;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"5";"Hedingen";"Force du parti, en %";3.7;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"6";"Kappel am Albis";"Force du parti, en %";4.5;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"7";"Knonau";"Force du parti, en %";4.8;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"8";"Maschwanden";"Force du parti, en %";1.6;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"9";"Mettmenstetten";"Force du parti, en %";4.6;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"10";"Obfelden";"Force du parti, en %";6.5;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"11";"Ottenbach";"Force du parti, en %";4.5;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
"12";"Rifferswil";"Force du parti, en %";2.5;"Force des partis en %";"A";"Normaler Wert";"";"2011-10-23";"BFS – Statistik der Wahlen und Abstimmungen";"2012-05-03";"voge";"Communes (politique)";"2011-07-01";"13681";"https://www.atlas.bfs.admin.ch/maps/13/map/mapIdOnly/13681_fr.html"
