Regions-ID;Regionsname;plr_share
1;Aeugst am Albis;14.0377003566
2;Affoltern am Albis;10.8422745729
3;Bonstetten;12.6772259886
4;Hausen am Albis;9.5903386218
5;Hedingen;8.2209751476
6;Kappel am Albis;9.0456573979
7;Knonau;7.3455991124
8;Maschwanden;6.1888422925
9;Mettmenstetten;9.2976241592
10;Obfelden;11.0145044482
11;Ottenbach;15.4940184804
12;Rifferswil;6.5985585333
13;Stallikon;13.5621631379
14;Wettswil am Albis;18.4407470516
21;Adlikon;7.633673355
22;Benken (ZH);6.3036338595
23;Berg am Irchel;7.559441305
24;Buch am Irchel;9.4964736756
25;Dachsen;10.7654042893
26;Dorf;6.3887185776
27;Feuerthalen;7.2865606111
28;Flaach;7.2186110161
29;Flurlingen;12.6532797858
30;Andelfingen;11.2926638627
31;Henggart;8.6432668374
32;Humlikon;9.0857867305
33;Kleinandelfingen;9.3993494213
34;Laufen-Uhwiesen;11.4354847194
35;Marthalen;4.9549237171
36;Oberstammheim;19.1345086919
37;Ossingen;9.3060785368
38;Rheinau;6.9865067466
39;Thalheim an der Thur;8.6314308682
40;Trüllikon;5.4419767613
41;Truttikon;5.7761253486
42;Unterstammheim;14.8313027179
43;Volken;10.8101629914
44;Waltalingen;6.4032562295
51;Bachenbülach;11.60982009
52;Bassersdorf;11.188465588
53;Bülach;9.9004295197
54;Dietlikon;11.7347380574
55;Eglisau;8.7894056099
56;Embrach;9.3227310118
57;Freienstein-Teufen;7.5765827093
58;Glattfelden;5.6119445164
59;Hochfelden;6.6627491751
60;Höri;5.7277318641
61;Hüntwangen;8.2606819163
62;Kloten;7.9993559418
63;Lufingen;10.3648710866
64;Nürensdorf;12.9351082559
65;Oberembrach;7.627236167
66;Opfikon;10.2636614159
67;Rafz;6.5781735697
68;Rorbas;6.91922802
69;Wallisellen;15.1586526013
70;Wasterkingen;4.9651792623
71;Wil (ZH);9.5092874965
72;Winkel;15.061292199
81;Bachs;3.5323609845
82;Boppelsen;14.6903076099
83;Buchs (ZH);11.4383314591
84;Dällikon;9.5189736299
85;Dänikon;7.6141193864
86;Dielsdorf;9.3148509753
87;Hüttikon;8.9094378394
88;Neerach;12.1338238058
89;Niederglatt;9.9601210782
90;Niederhasli;7.7269348311
91;Niederweningen;10.3789792825
92;Oberglatt;8.6874062332
93;Oberweningen;8.9957388605
94;Otelfingen;8.9620877888
95;Regensberg;13.7636663172
96;Regensdorf;8.4755584939
97;Rümlang;5.9961054235
98;Schleinikon;5.2532833021
99;Schöfflisdorf;10.6896551724
100;Stadel;9.8154745592
101;Steinmaur;9.498627366
102;Weiach;9.6933285509
111;Bäretswil;7.0754136409
112;Bubikon;7.5973108589
113;Dürnten;8.3543819887
114;Fischenthal;4.8567476783
115;Gossau (ZH);9.735112562
116;Grüningen;9.5683200161
117;Hinwil;7.884380513
118;Rüti (ZH);8.4032848377
119;Seegräben;9.7956222034
120;Wald (ZH);8.6916868644
121;Wetzikon (ZH);9.2045509562
131;Adliswil;11.1027185328
132;Hirzel;8.7828870326
133;Horgen;14.2294346624
134;Hütten;6.4030335861
135;Kilchberg (ZH);26.1395479171
136;Langnau am Albis;15.6791437935
137;Oberrieden;16.8179059181
138;Richterswil;11.9714438421
139;Rüschlikon;22.8767035843
140;Schönenberg (ZH);10.6584393684
141;Thalwil;16.8420002439
142;Wädenswil;11.4424999558
151;Erlenbach (ZH);25.7975398577
152;Herrliberg;25.2706191966
153;Hombrechtikon;8.3239274435
154;Küsnacht (ZH);26.294874663
155;Männedorf;15.1086308122
156;Meilen;21.8494691808
157;Oetwil am See;8.4872471416
158;Stäfa;14.5517060188
159;Uetikon am See;16.143836495
160;Zumikon;31.1165820999
161;Zollikon;28.4003982145
171;Bauma;5.8173442651
172;Fehraltorf;10.8339112064
173;Hittnau;8.0587498577
174;Illnau-Effretikon;10.4518304492
175;Kyburg;5.8801213961
176;Lindau;11.018602836
177;Pfäffikon;9.8463886234
178;Russikon;10.8472023219
179;Sternenberg;3.2592592593
180;Weisslingen;9.4452361309
181;Wila;4.0102498398
182;Wildberg;6.6653105506
191;Dübendorf;8.9053869515
192;Egg;14.2155138414
193;Fällanden;14.7319294538
194;Greifensee;11.5921720222
195;Maur;16.8095079845
196;Mönchaltorf;9.5843474562
197;Schwerzenbach;10.9158691551
198;Uster;9.2335481323
199;Volketswil;9.324645354
200;Wangen-Brüttisellen;10.2775627946
211;Altikon;5.4381672598
212;Bertschikon;4.51066961
213;Brütten;14.6613784829
214;Dägerlen;4.6694648478
215;Dättlikon;10.855624771
216;Dinhard;9.3266164441
217;Elgg;9.2370566526
218;Ellikon an der Thur;6.3327116085
219;Elsau;11.1878285728
220;Hagenbuch;4.2190512919
221;Hettlingen;15.0134452514
222;Hofstetten (ZH);6.4981949458
223;Neftenbach;11.7690126803
224;Pfungen;7.8163442977
225;Rickenbach (ZH);11.7196200459
226;Schlatt (ZH);3.6844836533
227;Seuzach;14.3376254049
228;Turbenthal;6.1263309286
229;Wiesendangen;13.888
230;Winterthur;9.3255577811
231;Zell (ZH);8.3509219067
241;Aesch (ZH);15.3186588175
242;Birmensdorf (ZH);11.7828746177
243;Dietikon;8.3080469667
244;Geroldswil;18.1515636511
245;Oberengstringen;13.5824426295
246;Oetwil an der Limmat;20.288106192
247;Schlieren;10.8718800828
248;Uitikon;24.7750151176
249;Unterengstringen;17.849915683
250;Urdorf;9.5066278837
251;Weiningen (ZH);13.4852437215
261;Zürich;10.785728432
301;Aarberg;9.8467565959
302;Bargen (BE);4.4996576347
303;Grossaffoltern;8.0276466622
304;Kallnach;3.7147008655
305;Kappelen;4.2910766081
306;Lyss;11.1035542679
307;Meikirch;9.3893542286
308;Niederried bei Kallnach;1.7142857143
309;Radelfingen;4.7428661022
310;Rapperswil (BE);5.860725697
311;Schüpfen;5.6315388737
312;Seedorf (BE);4.4558975114
321;Aarwangen;10.8291032149
322;Auswil;3.2037590773
323;Bannwil;7.1343436063
324;Bleienbach;6.3813229572
325;Busswil bei Melchnau;4.1760215537
326;Gondiswil;5.6911630335
329;Langenthal;16.7326469237
331;Lotzwil;8.9554941821
332;Madiswil;6.9038686266
333;Melchnau;5.150362945
334;Obersteckholz;4.6340493238
335;Oeschenbach;1.0299625468
336;Reisiswil;1.343952215
337;Roggwil (BE);7.2191082444
338;Rohrbach;5.72426767
339;Rohrbachgraben;0.2506265664
340;Rütschelen;8.1746316924
341;Schwarzhäusern;5.2140077821
342;Thunstetten;11.2612254629
344;Ursenbach;3.7471836831
345;Wynau;9.2220421394
351;Bern;8.9708169442
352;Bolligen;15.6830490459
353;Bremgarten bei Bern;13.8528970741
354;Kirchlindach;13.1018153118
355;Köniz;9.5727086602
356;Muri bei Bern;20.6875004199
357;Oberbalm;2.3076151299
358;Stettlen;13.4540389972
359;Vechigen;9.8326468902
360;Wohlen bei Bern;10.9447143746
361;Zollikofen;11.8437143532
362;Ittigen;14.6440846501
363;Ostermundigen;8.6678032836
371;Biel/Bienne;8.7566636051
372;Evilard;16.8242321622
381;Arch;5.8105752469
382;Büetigen;6.7035245335
383;Büren an der Aare;9.525931512
385;Diessbach bei Büren;5.817677199
386;Dotzigen;4.5032604526
387;Lengnau (BE);10.8689222761
388;Leuzigen;12.693114629
390;Meinisberg;5.9484091464
391;Oberwil bei Büren;4.2638241173
392;Pieterlen;12.0976740194
393;Rüti bei Büren;2.2484756098
394;Wengi;5.8595641646
401;Aefligen;4.7652347652
402;Alchenstorf;2.1988377572
403;Bäriswil;5.8041329739
404;Burgdorf;9.6367326941
405;Ersigen;8.1872909699
406;Hasle bei Burgdorf;5.5161907461
407;Heimiswil;2.7414566357
409;Hindelbank;5.9594448171
410;Höchstetten;3.6321303842
411;Kernenried;5.1567763669
412;Kirchberg (BE);10.1396605526
413;Koppigen;9.0042425755
414;Krauchthal;7.6305913816
415;Lyssach;6.0267100536
416;Mötschwil;5.3533190578
418;Oberburg;4.3932794026
420;Rüdtligen-Alchenflüh;6.6020415657
421;Rumendingen;2.972027972
423;Willadingen;5.0440352282
424;Wynigen;6.7159812772
431;Corgémont;10.503428667
432;Cormoret;4.135062393
433;Cortébert;7.929991357
434;Courtelary;9.3247164337
435;La Ferrière;8.3800725833
436;La Heutte;5.9316569955
437;Mont-Tramelan;1.1815920398
438;Orvin;7.5455650061
439;Péry;9.3627264665
440;Plagne;8.6891942072
441;Renan (BE);10.4760250174
442;Romont (BE);4.6721929164
443;Saint-Imier;18.2134669271
444;Sonceboz-Sombeval;7.0885555784
445;Sonvilier;6.4783244033
446;Tramelan;8.7068132399
447;Vauffelin;9.0207232832
448;Villeret;11.0640460861
491;Brüttelen;4.183927092
492;Erlach;12.2112707847
493;Finsterhennen;2.9146247098
494;Gals;5.3941908714
495;Gampelen;4.4973544974
496;Ins;7.9119702789
497;Lüscherz;5.2989130435
498;Müntschemier;7.0841121495
499;Siselen;5.8404558405
500;Treiten;4.4242298946
501;Tschugg;6.4141414141
502;Vinelz;6.5588808623
532;Bangerten;5.4778554779
533;Bätterkinden;6.5606491934
534;Büren zum Hof;4.6788990826
536;Diemerswil;10.1872659176
537;Etzelkofen;4.6539379475
538;Fraubrunnen;7.8995654273
539;Grafenried;5.9745179063
540;Jegenstorf;10.408357075
541;Iffwil;5.8366461872
542;Limpach;3.3958163543
