"","...1","ID","net_inc_percap2019","net_inc2019","plr","year","Nom","udc","pdc","ps","pes","pvl","pbd","pev_pcs","perc","dec","taux_participation"
"1",1,4551,37110,336,11.4,2019,"Aadorf",37.4,15.5,10.7,9.6,7.9,2.1,3.4,63,7,41.7
"2",2,4001,43013,937,16.7,2019,"Aarau",16.3,5.7,26.4,14.7,10.9,2.5,3.6,82,9,57.1
"3",3,301,35839,166,9.9,2019,"Aarberg",33.7,1,14.8,10.3,9.8,12.2,3.8,56,6,45.3
"4",4,4271,29549,247,11.3,2019,"Aarburg",34.9,5.9,21,10.5,6.4,2.6,3.1,18,2,36.3
"5",5,321,31428,145,11.6,2019,"Aarwangen",38.6,1.3,13.3,9,9.1,8.7,2.6,29,3,41.8
"6",6,4221,35265,34,8.4,2019,"Abtwil",44.3,16.6,8.1,6.2,10.3,3.8,1.1,53,6,39.6
"7",7,5621,40500,22,23.5,2019,"Aclens",22,0.4,21.4,16.2,9.5,0.2,0.3,76,8,46.4
"8",8,5048,28504,52,15.6,2019,"Acquarossa",9.9,28,13.7,10.3,0.6,NA,NA,14,2,43.1
"9",9,561,25663,86,4.2,2019,"Adelboden",44.8,0.4,5.2,2.8,7.4,4.8,5.3,5,1,58
"10",10,1051,42294,231,16.7,2019,"Adligenswil",23.6,16.7,16.8,14.6,10.4,NA,0.8,80,9,54.2
"11",11,21,39051,27,9.4,2019,"Adlikon",56.5,1.3,6.1,6.8,6.4,3.9,6.7,71,8,55.4
"12",12,131,45887,869,14.4,2019,"Adliswil",28.5,9,17.6,11.1,11.2,2,3.1,87,9,41.2
"13",13,2421,33127,19,17.5,2019,"Aedermannsdorf",26.3,39.7,7.7,4.3,1.8,1.8,0.2,40,4,57.5
"14",14,401,31860,35,4.3,2019,"Aefligen",45.2,0.8,12,5.4,6.7,11.7,6.5,32,4,42
"15",15,731,30162,66,9.2,2019,"Aegerten",32.5,1,20.8,8.7,6.9,11.8,3.4,22,3,34.9
"16",16,2761,41658,431,17.7,2019,"Aesch (BL)",25.2,12.9,21.7,15.2,4.1,1.6,1.6,79,8,35.6
"17",17,1021,37659,47,13.8,2019,"Aesch (LU)",35.6,30.2,4.6,9,3.4,NA,2.3,65,7,50.8
"18",18,241,56655,95,19.4,2019,"Aesch (ZH)",35.5,7.1,9.1,7.5,13.3,2,1.2,95,10,54.4
"19",19,2511,41809,53,14.2,2019,"Aeschi (SO)",28.5,17.4,17.2,9.4,9,1.8,0.3,80,8,46.5
"20",20,562,31057,70,4.5,2019,"Aeschi bei Spiez",44.2,0.6,7.1,7.8,9.3,6.8,8.5,27,3,56.5
"21",21,1,57603,114,16.4,2019,"Aeugst am Albis",30.4,2.5,11.6,15.1,14.3,1.3,3.2,95,10,55.4
"22",22,4711,32448,85,6.5,2019,"Affeltrangen",55,9.7,6.5,7,5.6,4.1,2,35,4,43
"23",23,2,36521,449,13.4,2019,"Affoltern am Albis",30.3,4.5,14.6,12.6,12.7,2,6.6,60,6,42.1
"24",24,951,26798,30,4.5,2019,"Affoltern im Emmental",55,0.4,7.4,4.2,3.1,8.5,5.9,8,1,53.4
"25",25,6101,30014,22,1,2019,"Agarn",20.9,65.9,7.7,3.8,0.1,NA,0.1,20,3,69.2
"26",26,5742,30585,11,24.4,2019,"Agiez",29,1,12.1,14.1,5.1,0.4,0.1,24,3,46.5
