"","...1","ID","net_inc_percap2019","net_inc2019","year","Nom","perc","dec","party","share"
"1",1,4551,37110,336,2019,"Aadorf",63,7,"plr",11.4
"2",1,4551,37110,336,2019,"Aadorf",63,7,"udc",37.4
"3",1,4551,37110,336,2019,"Aadorf",63,7,"pdc",15.5
"4",1,4551,37110,336,2019,"Aadorf",63,7,"ps",10.7
"5",1,4551,37110,336,2019,"Aadorf",63,7,"pes",9.6
"6",1,4551,37110,336,2019,"Aadorf",63,7,"pvl",7.9
"7",1,4551,37110,336,2019,"Aadorf",63,7,"pbd",2.1
"8",1,4551,37110,336,2019,"Aadorf",63,7,"pev_pcs",3.4
"9",1,4551,37110,336,2019,"Aadorf",63,7,"taux_participation",41.7
"10",2,4001,43013,937,2019,"Aarau",82,9,"plr",16.7
"11",2,4001,43013,937,2019,"Aarau",82,9,"udc",16.3
"12",2,4001,43013,937,2019,"Aarau",82,9,"pdc",5.7
"13",2,4001,43013,937,2019,"Aarau",82,9,"ps",26.4
"14",2,4001,43013,937,2019,"Aarau",82,9,"pes",14.7
"15",2,4001,43013,937,2019,"Aarau",82,9,"pvl",10.9
"16",2,4001,43013,937,2019,"Aarau",82,9,"pbd",2.5
"17",2,4001,43013,937,2019,"Aarau",82,9,"pev_pcs",3.6
"18",2,4001,43013,937,2019,"Aarau",82,9,"taux_participation",57.1
"19",3,301,35839,166,2019,"Aarberg",56,6,"plr",9.9
"20",3,301,35839,166,2019,"Aarberg",56,6,"udc",33.7
"21",3,301,35839,166,2019,"Aarberg",56,6,"pdc",1
"22",3,301,35839,166,2019,"Aarberg",56,6,"ps",14.8
"23",3,301,35839,166,2019,"Aarberg",56,6,"pes",10.3
"24",3,301,35839,166,2019,"Aarberg",56,6,"pvl",9.8
"25",3,301,35839,166,2019,"Aarberg",56,6,"pbd",12.2
"26",3,301,35839,166,2019,"Aarberg",56,6,"pev_pcs",3.8
"27",3,301,35839,166,2019,"Aarberg",56,6,"taux_participation",45.3
"28",4,4271,29549,247,2019,"Aarburg",18,2,"plr",11.3
"29",4,4271,29549,247,2019,"Aarburg",18,2,"udc",34.9
"30",4,4271,29549,247,2019,"Aarburg",18,2,"pdc",5.9
"31",4,4271,29549,247,2019,"Aarburg",18,2,"ps",21
"32",4,4271,29549,247,2019,"Aarburg",18,2,"pes",10.5
"33",4,4271,29549,247,2019,"Aarburg",18,2,"pvl",6.4
"34",4,4271,29549,247,2019,"Aarburg",18,2,"pbd",2.6
"35",4,4271,29549,247,2019,"Aarburg",18,2,"pev_pcs",3.1
"36",4,4271,29549,247,2019,"Aarburg",18,2,"taux_participation",36.3
"37",5,321,31428,145,2019,"Aarwangen",29,3,"plr",11.6
"38",5,321,31428,145,2019,"Aarwangen",29,3,"udc",38.6
"39",5,321,31428,145,2019,"Aarwangen",29,3,"pdc",1.3
"40",5,321,31428,145,2019,"Aarwangen",29,3,"ps",13.3
"41",5,321,31428,145,2019,"Aarwangen",29,3,"pes",9
"42",5,321,31428,145,2019,"Aarwangen",29,3,"pvl",9.1
"43",5,321,31428,145,2019,"Aarwangen",29,3,"pbd",8.7
"44",5,321,31428,145,2019,"Aarwangen",29,3,"pev_pcs",2.6
"45",5,321,31428,145,2019,"Aarwangen",29,3,"taux_participation",41.8
"46",6,4221,35265,34,2019,"Abtwil",53,6,"plr",8.4
"47",6,4221,35265,34,2019,"Abtwil",53,6,"udc",44.3
"48",6,4221,35265,34,2019,"Abtwil",53,6,"pdc",16.6
"49",6,4221,35265,34,2019,"Abtwil",53,6,"ps",8.1
"50",6,4221,35265,34,2019,"Abtwil",53,6,"pes",6.2
"51",6,4221,35265,34,2019,"Abtwil",53,6,"pvl",10.3
"52",6,4221,35265,34,2019,"Abtwil",53,6,"pbd",3.8
"53",6,4221,35265,34,2019,"Abtwil",53,6,"pev_pcs",1.1
"54",6,4221,35265,34,2019,"Abtwil",53,6,"taux_participation",39.6
"55",7,5621,40500,22,2019,"Aclens",76,8,"plr",23.5
"56",7,5621,40500,22,2019,"Aclens",76,8,"udc",22
"57",7,5621,40500,22,2019,"Aclens",76,8,"pdc",0.4
"58",7,5621,40500,22,2019,"Aclens",76,8,"ps",21.4
"59",7,5621,40500,22,2019,"Aclens",76,8,"pes",16.2
"60",7,5621,40500,22,2019,"Aclens",76,8,"pvl",9.5
"61",7,5621,40500,22,2019,"Aclens",76,8,"pbd",0.2
"62",7,5621,40500,22,2019,"Aclens",76,8,"pev_pcs",0.3
"63",7,5621,40500,22,2019,"Aclens",76,8,"taux_participation",46.4
"64",8,5048,28504,52,2019,"Acquarossa",14,2,"plr",15.6
"65",8,5048,28504,52,2019,"Acquarossa",14,2,"udc",9.9
"66",8,5048,28504,52,2019,"Acquarossa",14,2,"pdc",28
"67",8,5048,28504,52,2019,"Acquarossa",14,2,"ps",13.7
"68",8,5048,28504,52,2019,"Acquarossa",14,2,"pes",10.3
"69",8,5048,28504,52,2019,"Acquarossa",14,2,"pvl",0.6
"70",8,5048,28504,52,2019,"Acquarossa",14,2,"pbd",NA
"71",8,5048,28504,52,2019,"Acquarossa",14,2,"pev_pcs",NA
"72",8,5048,28504,52,2019,"Acquarossa",14,2,"taux_participation",43.1
"73",9,561,25663,86,2019,"Adelboden",5,1,"plr",4.2
"74",9,561,25663,86,2019,"Adelboden",5,1,"udc",44.8
"75",9,561,25663,86,2019,"Adelboden",5,1,"pdc",0.4
"76",9,561,25663,86,2019,"Adelboden",5,1,"ps",5.2
"77",9,561,25663,86,2019,"Adelboden",5,1,"pes",2.8
"78",9,561,25663,86,2019,"Adelboden",5,1,"pvl",7.4
"79",9,561,25663,86,2019,"Adelboden",5,1,"pbd",4.8
"80",9,561,25663,86,2019,"Adelboden",5,1,"pev_pcs",5.3
"81",9,561,25663,86,2019,"Adelboden",5,1,"taux_participation",58
"82",10,1051,42294,231,2019,"Adligenswil",80,9,"plr",16.7
"83",10,1051,42294,231,2019,"Adligenswil",80,9,"udc",23.6
"84",10,1051,42294,231,2019,"Adligenswil",80,9,"pdc",16.7
"85",10,1051,42294,231,2019,"Adligenswil",80,9,"ps",16.8
"86",10,1051,42294,231,2019,"Adligenswil",80,9,"pes",14.6
"87",10,1051,42294,231,2019,"Adligenswil",80,9,"pvl",10.4
"88",10,1051,42294,231,2019,"Adligenswil",80,9,"pbd",NA
"89",10,1051,42294,231,2019,"Adligenswil",80,9,"pev_pcs",0.8
