"","GEO_NAME","pes","pst","pbd","pvl","pev","udc","pss","pdc","plr","GEO_ID","net_income_mio","net_income_per_hab","decile","percentile"
"1","Aeugst am Albis",7.1,0.2,2.6,8.4,3.5,30.9,18.6,2.1,18.7,1,103,52037,10,94
"2","Affoltern am Albis",6.2,0.2,4.2,7.4,5.5,33.8,19.1,4.6,14.2,2,411,35123,7,67
"3","Bonstetten",6.7,0.1,3.8,11.9,3.1,29.1,20.4,3.4,16.5,3,235,44040,9,88
"4","Hausen am Albis",8,0.2,4.7,8.7,2.6,34.9,19.4,2.9,12.8,4,147,42262,9,86
"5","Hedingen",6.5,0.2,3.8,9.6,3.6,30.1,22.5,3.9,15.8,5,166,45358,9,90
"6","Kappel am Albis",4.4,0.3,5.1,5.6,6.6,48.6,10.3,2.7,11,6,46,44187,9,89
"7","Knonau",5.8,0,5.9,10.4,6.2,32.9,18.4,3.1,11.5,7,85,40304,9,83
"8","Maschwanden",5.2,0.6,3.5,4.9,3.7,43.4,22.7,3.5,4.9,8,24,37283,8,75
"9","Mettmenstetten",5.1,0.1,4.4,9.6,3.5,35.7,18.8,3.6,13.2,9,200,42914,9,87
"10","Obfelden",3.7,0.1,4.4,7.4,4.8,36.2,16.9,6.5,14.4,10,177,35365,7,68
"11","Ottenbach",4.8,0.2,4.9,8.2,2.1,34.9,18.6,4.1,16.8,11,109,42333,9,86
"12","Rifferswil",10.8,0.2,3.6,9,7.4,30.5,21.1,1.7,9.3,12,41,39176,9,81
"13","Stallikon",4,0.2,4.1,6.6,1.7,40.5,17.6,3.5,18.8,13,168,48588,10,92
"14","Wettswil am Albis",4.6,0.1,4.1,9.2,2.2,32.1,14.4,4.5,24.8,14,282,57303,10,96
"15","Adlikon",3.8,0,6.6,3.9,4.7,56.8,8.3,0.9,7.4,21,21,31425,5,46
"16","Benken (ZH)",9.4,0.1,9.6,3.8,1.4,43.8,11.9,1.6,10.9,22,33,38592,8,79
"17","Berg am Irchel",4.2,0,8.2,7.9,3.2,50.1,7.7,2.9,10.6,23,25,42923,9,87
"18","Buch am Irchel",2.3,0,7.4,9.5,1.5,51.4,7.5,2,12.9,24,36,37615,8,76
"19","Dachsen",6.9,0.2,5.8,8.8,4.6,32.1,19.8,5.2,12.1,25,79,39623,9,81
"20","Dorf",2.6,0.1,5.5,3.2,2.2,49.2,10.5,2,10.5,26,25,40367,9,84
"21","Feuerthalen",5.7,0,5.1,6.1,2.4,36.6,23.3,3.7,10.6,27,130,36389,8,72
"22","Flaach",3.2,0,5.4,3.8,6.1,51,11.1,1.2,11,28,48,35315,7,68
