"","GEO_NAME","GEO_ID","net_income_mio","net_income_per_hab","decile","percentile","party","share"
"1","Aeugst am Albis",1,103,52037,10,94,"pes",7.1
"2","Aeugst am Albis",1,103,52037,10,94,"pst",0.2
"3","Aeugst am Albis",1,103,52037,10,94,"pbd",2.6
"4","Aeugst am Albis",1,103,52037,10,94,"pvl",8.4
"5","Aeugst am Albis",1,103,52037,10,94,"pev",3.5
"6","Aeugst am Albis",1,103,52037,10,94,"udc",30.9
"7","Aeugst am Albis",1,103,52037,10,94,"pss",18.6
"8","Aeugst am Albis",1,103,52037,10,94,"pdc",2.1
"9","Aeugst am Albis",1,103,52037,10,94,"plr",18.7
"10","Affoltern am Albis",2,411,35123,7,67,"pes",6.2
"11","Affoltern am Albis",2,411,35123,7,67,"pst",0.2
"12","Affoltern am Albis",2,411,35123,7,67,"pbd",4.2
"13","Affoltern am Albis",2,411,35123,7,67,"pvl",7.4
"14","Affoltern am Albis",2,411,35123,7,67,"pev",5.5
"15","Affoltern am Albis",2,411,35123,7,67,"udc",33.8
"16","Affoltern am Albis",2,411,35123,7,67,"pss",19.1
"17","Affoltern am Albis",2,411,35123,7,67,"pdc",4.6
"18","Affoltern am Albis",2,411,35123,7,67,"plr",14.2
"19","Bonstetten",3,235,44040,9,88,"pes",6.7
"20","Bonstetten",3,235,44040,9,88,"pst",0.1
"21","Bonstetten",3,235,44040,9,88,"pbd",3.8
"22","Bonstetten",3,235,44040,9,88,"pvl",11.9
"23","Bonstetten",3,235,44040,9,88,"pev",3.1
"24","Bonstetten",3,235,44040,9,88,"udc",29.1
"25","Bonstetten",3,235,44040,9,88,"pss",20.4
"26","Bonstetten",3,235,44040,9,88,"pdc",3.4
"27","Bonstetten",3,235,44040,9,88,"plr",16.5
"28","Hausen am Albis",4,147,42262,9,86,"pes",8
"29","Hausen am Albis",4,147,42262,9,86,"pst",0.2
"30","Hausen am Albis",4,147,42262,9,86,"pbd",4.7
"31","Hausen am Albis",4,147,42262,9,86,"pvl",8.7
"32","Hausen am Albis",4,147,42262,9,86,"pev",2.6
"33","Hausen am Albis",4,147,42262,9,86,"udc",34.9
"34","Hausen am Albis",4,147,42262,9,86,"pss",19.4
"35","Hausen am Albis",4,147,42262,9,86,"pdc",2.9
"36","Hausen am Albis",4,147,42262,9,86,"plr",12.8
"37","Hedingen",5,166,45358,9,90,"pes",6.5
"38","Hedingen",5,166,45358,9,90,"pst",0.2
"39","Hedingen",5,166,45358,9,90,"pbd",3.8
"40","Hedingen",5,166,45358,9,90,"pvl",9.6
"41","Hedingen",5,166,45358,9,90,"pev",3.6
"42","Hedingen",5,166,45358,9,90,"udc",30.1
"43","Hedingen",5,166,45358,9,90,"pss",22.5
"44","Hedingen",5,166,45358,9,90,"pdc",3.9
"45","Hedingen",5,166,45358,9,90,"plr",15.8
"46","Kappel am Albis",6,46,44187,9,89,"pes",4.4
"47","Kappel am Albis",6,46,44187,9,89,"pst",0.3
"48","Kappel am Albis",6,46,44187,9,89,"pbd",5.1
"49","Kappel am Albis",6,46,44187,9,89,"pvl",5.6
"50","Kappel am Albis",6,46,44187,9,89,"pev",6.6
"51","Kappel am Albis",6,46,44187,9,89,"udc",48.6
"52","Kappel am Albis",6,46,44187,9,89,"pss",10.3
"53","Kappel am Albis",6,46,44187,9,89,"pdc",2.7
"54","Kappel am Albis",6,46,44187,9,89,"plr",11
"55","Knonau",7,85,40304,9,83,"pes",5.8
"56","Knonau",7,85,40304,9,83,"pst",0
"57","Knonau",7,85,40304,9,83,"pbd",5.9
"58","Knonau",7,85,40304,9,83,"pvl",10.4
"59","Knonau",7,85,40304,9,83,"pev",6.2
"60","Knonau",7,85,40304,9,83,"udc",32.9
"61","Knonau",7,85,40304,9,83,"pss",18.4
"62","Knonau",7,85,40304,9,83,"pdc",3.1
"63","Knonau",7,85,40304,9,83,"plr",11.5
"64","Maschwanden",8,24,37283,8,75,"pes",5.2
"65","Maschwanden",8,24,37283,8,75,"pst",0.6
"66","Maschwanden",8,24,37283,8,75,"pbd",3.5
"67","Maschwanden",8,24,37283,8,75,"pvl",4.9
"68","Maschwanden",8,24,37283,8,75,"pev",3.7
"69","Maschwanden",8,24,37283,8,75,"udc",43.4
"70","Maschwanden",8,24,37283,8,75,"pss",22.7
"71","Maschwanden",8,24,37283,8,75,"pdc",3.5
"72","Maschwanden",8,24,37283,8,75,"plr",4.9
"73","Mettmenstetten",9,200,42914,9,87,"pes",5.1
"74","Mettmenstetten",9,200,42914,9,87,"pst",0.1
"75","Mettmenstetten",9,200,42914,9,87,"pbd",4.4
"76","Mettmenstetten",9,200,42914,9,87,"pvl",9.6
"77","Mettmenstetten",9,200,42914,9,87,"pev",3.5
"78","Mettmenstetten",9,200,42914,9,87,"udc",35.7
"79","Mettmenstetten",9,200,42914,9,87,"pss",18.8
"80","Mettmenstetten",9,200,42914,9,87,"pdc",3.6
"81","Mettmenstetten",9,200,42914,9,87,"plr",13.2
"82","Obfelden",10,177,35365,7,68,"pes",3.7
"83","Obfelden",10,177,35365,7,68,"pst",0.1
"84","Obfelden",10,177,35365,7,68,"pbd",4.4
"85","Obfelden",10,177,35365,7,68,"pvl",7.4
"86","Obfelden",10,177,35365,7,68,"pev",4.8
"87","Obfelden",10,177,35365,7,68,"udc",36.2
"88","Obfelden",10,177,35365,7,68,"pss",16.9
"89","Obfelden",10,177,35365,7,68,"pdc",6.5
"90","Obfelden",10,177,35365,7,68,"plr",14.4
"91","Ottenbach",11,109,42333,9,86,"pes",4.8
"92","Ottenbach",11,109,42333,9,86,"pst",0.2
"93","Ottenbach",11,109,42333,9,86,"pbd",4.9
"94","Ottenbach",11,109,42333,9,86,"pvl",8.2
"95","Ottenbach",11,109,42333,9,86,"pev",2.1
"96","Ottenbach",11,109,42333,9,86,"udc",34.9
"97","Ottenbach",11,109,42333,9,86,"pss",18.6
"98","Ottenbach",11,109,42333,9,86,"pdc",4.1
"99","Ottenbach",11,109,42333,9,86,"plr",16.8
"100","Rifferswil",12,41,39176,9,81,"pes",10.8
"101","Rifferswil",12,41,39176,9,81,"pst",0.2
"102","Rifferswil",12,41,39176,9,81,"pbd",3.6
"103","Rifferswil",12,41,39176,9,81,"pvl",9
"104","Rifferswil",12,41,39176,9,81,"pev",7.4
"105","Rifferswil",12,41,39176,9,81,"udc",30.5
"106","Rifferswil",12,41,39176,9,81,"pss",21.1
"107","Rifferswil",12,41,39176,9,81,"pdc",1.7
"108","Rifferswil",12,41,39176,9,81,"plr",9.3
"109","Stallikon",13,168,48588,10,92,"pes",4
"110","Stallikon",13,168,48588,10,92,"pst",0.2
"111","Stallikon",13,168,48588,10,92,"pbd",4.1
"112","Stallikon",13,168,48588,10,92,"pvl",6.6
"113","Stallikon",13,168,48588,10,92,"pev",1.7
"114","Stallikon",13,168,48588,10,92,"udc",40.5
"115","Stallikon",13,168,48588,10,92,"pss",17.6
"116","Stallikon",13,168,48588,10,92,"pdc",3.5
"117","Stallikon",13,168,48588,10,92,"plr",18.8
"118","Wettswil am Albis",14,282,57303,10,96,"pes",4.6
"119","Wettswil am Albis",14,282,57303,10,96,"pst",0.1
"120","Wettswil am Albis",14,282,57303,10,96,"pbd",4.1
"121","Wettswil am Albis",14,282,57303,10,96,"pvl",9.2
"122","Wettswil am Albis",14,282,57303,10,96,"pev",2.2
"123","Wettswil am Albis",14,282,57303,10,96,"udc",32.1
"124","Wettswil am Albis",14,282,57303,10,96,"pss",14.4
"125","Wettswil am Albis",14,282,57303,10,96,"pdc",4.5
"126","Wettswil am Albis",14,282,57303,10,96,"plr",24.8
"127","Adlikon",21,21,31425,5,46,"pes",3.8
"128","Adlikon",21,21,31425,5,46,"pst",0
"129","Adlikon",21,21,31425,5,46,"pbd",6.6
"130","Adlikon",21,21,31425,5,46,"pvl",3.9
"131","Adlikon",21,21,31425,5,46,"pev",4.7
"132","Adlikon",21,21,31425,5,46,"udc",56.8
"133","Adlikon",21,21,31425,5,46,"pss",8.3
"134","Adlikon",21,21,31425,5,46,"pdc",0.9
"135","Adlikon",21,21,31425,5,46,"plr",7.4
"136","Benken (ZH)",22,33,38592,8,79,"pes",9.4
"137","Benken (ZH)",22,33,38592,8,79,"pst",0.1
"138","Benken (ZH)",22,33,38592,8,79,"pbd",9.6
"139","Benken (ZH)",22,33,38592,8,79,"pvl",3.8
"140","Benken (ZH)",22,33,38592,8,79,"pev",1.4
"141","Benken (ZH)",22,33,38592,8,79,"udc",43.8
"142","Benken (ZH)",22,33,38592,8,79,"pss",11.9
"143","Benken (ZH)",22,33,38592,8,79,"pdc",1.6
"144","Benken (ZH)",22,33,38592,8,79,"plr",10.9
"145","Berg am Irchel",23,25,42923,9,87,"pes",4.2
"146","Berg am Irchel",23,25,42923,9,87,"pst",0
"147","Berg am Irchel",23,25,42923,9,87,"pbd",8.2
"148","Berg am Irchel",23,25,42923,9,87,"pvl",7.9
"149","Berg am Irchel",23,25,42923,9,87,"pev",3.2
"150","Berg am Irchel",23,25,42923,9,87,"udc",50.1
"151","Berg am Irchel",23,25,42923,9,87,"pss",7.7
"152","Berg am Irchel",23,25,42923,9,87,"pdc",2.9
"153","Berg am Irchel",23,25,42923,9,87,"plr",10.6
"154","Buch am Irchel",24,36,37615,8,76,"pes",2.3
"155","Buch am Irchel",24,36,37615,8,76,"pst",0
"156","Buch am Irchel",24,36,37615,8,76,"pbd",7.4
"157","Buch am Irchel",24,36,37615,8,76,"pvl",9.5
"158","Buch am Irchel",24,36,37615,8,76,"pev",1.5
"159","Buch am Irchel",24,36,37615,8,76,"udc",51.4
"160","Buch am Irchel",24,36,37615,8,76,"pss",7.5
"161","Buch am Irchel",24,36,37615,8,76,"pdc",2
"162","Buch am Irchel",24,36,37615,8,76,"plr",12.9
"163","Dachsen",25,79,39623,9,81,"pes",6.9
"164","Dachsen",25,79,39623,9,81,"pst",0.2
"165","Dachsen",25,79,39623,9,81,"pbd",5.8
"166","Dachsen",25,79,39623,9,81,"pvl",8.8
"167","Dachsen",25,79,39623,9,81,"pev",4.6
"168","Dachsen",25,79,39623,9,81,"udc",32.1
"169","Dachsen",25,79,39623,9,81,"pss",19.8
"170","Dachsen",25,79,39623,9,81,"pdc",5.2
"171","Dachsen",25,79,39623,9,81,"plr",12.1
"172","Dorf",26,25,40367,9,84,"pes",2.6
"173","Dorf",26,25,40367,9,84,"pst",0.1
"174","Dorf",26,25,40367,9,84,"pbd",5.5
"175","Dorf",26,25,40367,9,84,"pvl",3.2
"176","Dorf",26,25,40367,9,84,"pev",2.2
"177","Dorf",26,25,40367,9,84,"udc",49.2
"178","Dorf",26,25,40367,9,84,"pss",10.5
"179","Dorf",26,25,40367,9,84,"pdc",2
"180","Dorf",26,25,40367,9,84,"plr",10.5
"181","Feuerthalen",27,130,36389,8,72,"pes",5.7
"182","Feuerthalen",27,130,36389,8,72,"pst",0
"183","Feuerthalen",27,130,36389,8,72,"pbd",5.1
"184","Feuerthalen",27,130,36389,8,72,"pvl",6.1
"185","Feuerthalen",27,130,36389,8,72,"pev",2.4
"186","Feuerthalen",27,130,36389,8,72,"udc",36.6
"187","Feuerthalen",27,130,36389,8,72,"pss",23.3
"188","Feuerthalen",27,130,36389,8,72,"pdc",3.7
"189","Feuerthalen",27,130,36389,8,72,"plr",10.6
"190","Flaach",28,48,35315,7,68,"pes",3.2
"191","Flaach",28,48,35315,7,68,"pst",0
"192","Flaach",28,48,35315,7,68,"pbd",5.4
"193","Flaach",28,48,35315,7,68,"pvl",3.8
"194","Flaach",28,48,35315,7,68,"pev",6.1
"195","Flaach",28,48,35315,7,68,"udc",51
"196","Flaach",28,48,35315,7,68,"pss",11.1
"197","Flaach",28,48,35315,7,68,"pdc",1.2
"198","Flaach",28,48,35315,7,68,"plr",11
"199","Flurlingen",29,67,46621,10,91,"pes",6.5
"200","Flurlingen",29,67,46621,10,91,"pst",0
"201","Flurlingen",29,67,46621,10,91,"pbd",5.1
"202","Flurlingen",29,67,46621,10,91,"pvl",9
"203","Flurlingen",29,67,46621,10,91,"pev",1.9
"204","Flurlingen",29,67,46621,10,91,"udc",28
"205","Flurlingen",29,67,46621,10,91,"pss",22
"206","Flurlingen",29,67,46621,10,91,"pdc",4.2
"207","Flurlingen",29,67,46621,10,91,"plr",16.9
"208","Andelfingen",30,90,41551,9,86,"pes",6.7
"209","Andelfingen",30,90,41551,9,86,"pst",0
"210","Andelfingen",30,90,41551,9,86,"pbd",5.4
"211","Andelfingen",30,90,41551,9,86,"pvl",10.4
