"","GEO_NAME","pbd_share","vert_share","pst_sol_share","pvl_share","pev_share","udc_share","pss_share.x","pss_share.y","share_pdc","GEO_ID.y","net_income_mio","net_income_per_hab","Regions-ID","plr_share","perc","decile","GEO_ID.x"
"1","Aeugst am Albis",6.8,9.7,0,10.7,4.2,28.7,15.2,15.2,3.3,1,95,49746,1,14.0377003566,94,10,1
"2","Affoltern am Albis",6.6,8.4,0.1,10.3,4.5,31.9,16.5,16.5,5.7,2,367,32914,2,10.8422745729,66,7,2
"3","Bonstetten",5.7,7.5,0.1,17,3.3,27.1,18.2,18.2,3.7,3,225,43422,3,12.6772259886,91,10,3
"4","Hausen am Albis",6.7,11.4,0,14.2,2.2,33.5,15.6,15.6,3.3,4,133,39708,4,9.5903386218,86,9,4
"5","Hedingen",4,9.1,0.2,14.3,4.1,31.4,20.5,20.5,3.7,5,148,42710,5,8.2209751476,90,9,5
"6","Kappel am Albis",6.2,6.7,0,7.4,4.9,46.6,10.5,10.5,4.5,6,38,39964,6,9.0456573979,86,9,6
"7","Knonau",6.4,7.8,0.1,12.3,7,32.1,17.1,17.1,4.8,7,70,36827,7,7.3455991124,80,8,7
"8","Maschwanden",4.9,3.8,0,10.7,8.2,37.8,20.7,20.7,1.6,8,21,32350,8,6.1888422925,63,7,8
"9","Mettmenstetten",6.8,7.9,0.1,13.4,4.1,30.6,16.3,16.3,4.6,9,177,40436,9,9.2976241592,87,9,9
"10","Obfelden",7.2,6.6,0.1,9.5,4.4,32,16.3,16.3,6.5,10,164,34424,10,11.0145044482,72,8,10
"11","Ottenbach",5.8,8.4,0.2,11.6,2.3,30.9,16.8,16.8,4.5,11,98,39767,11,15.4940184804,86,9,11
"12","Rifferswil",3.9,13.7,0.1,12.2,6.3,28.5,19.1,19.1,2.5,12,35,37515,12,6.5985585333,82,9,12
"13","Stallikon",7.9,5.4,0,12.6,1.9,33.5,16.3,16.3,5.4,13,157,48053,13,13.5621631379,94,10,13
"14","Wettswil am Albis",6.7,4.3,0.1,13.7,2.9,29.5,14.1,14.1,5.7,14,247,53857,14,18.4407470516,96,10,14
"15","Adlikon",6.4,5.5,0,7.9,4.6,55.7,7.5,7.5,0.7,21,22,38520,21,7.633673355,84,9,21
"16","Benken (ZH)",11.8,7.6,0.3,5.3,1.3,47.4,10.4,10.4,2.4,22,29,35512,22,6.3036338595,76,8,22
"17","Berg am Irchel",7.6,7.6,0,10.4,2.4,51.2,6.6,6.6,1.8,23,24,41603,23,7.559441305,88,9,23
"18","Buch am Irchel",7.7,3.2,0,12.8,1.5,49.5,6.4,6.4,1.4,24,32,36045,24,9.4964736756,77,8,24
"19","Dachsen",8.4,10.9,0.1,10.8,2.9,29.4,16.8,16.8,5.3,25,72,36564,25,10.7654042893,79,8,25
"20","Dorf",5.8,3.4,0,7.2,2.5,50.4,11.4,11.4,1.3,26,23,36497,26,6.3887185776,79,8,26
"21","Feuerthalen",9.3,7.9,0.1,9.7,2.7,32.8,20.4,20.4,5,27,125,35926,27,7.2865606111,77,8,27
"22","Flaach",4.8,4.1,0,7.5,5.4,52.7,9,9,2.1,28,43,34436,28,7.2186110161,72,8,28
"23","Flurlingen",6.4,10.1,0.1,12.8,2.5,26.4,19.6,19.6,5.2,29,64,44473,29,12.6532797858,92,10,29
"24","Andelfingen",6.5,7.7,0.1,12.5,6.7,36,13.6,13.6,2.4,30,83,41944,30,11.2926638627,89,9,30
"25","Henggart",9.3,4.8,0.3,11.5,5.3,39.8,12.7,12.7,2.2,31,81,36240,31,8.6432668374,78,8,31
"26","Humlikon",8.1,2.6,0,7.6,1.9,54,7.5,7.5,1.9,32,17,35987,32,9.0857867305,77,8,32
